10000 20000
1 6529 11405508 
1 503 80298011 
1 3598 9573709 
1 1757 19552878 
2 7863 92266511 
2 7458 62032125 
3 939 92688593 
3 47 42910493 
3 5304 22772035 
3 9722 95349612 
3 7774 21543895 
4 3228 86053692 
4 2668 68278558 
4 8367 24712319 
4 7578 444041 
4 7014 42321084 
4 1563 1312905 
5 6267 59556249 
5 3472 82008135 
6 2537 49795519 
6 9746 96018662 
6 721 93708754 
6 3891 61904684 
6 7031 24840118 
7 6724 72428602 
7 8369 66369601 
7 4218 76717790 
7 8064 50376520 
7 270 9328397 
7 4550 64364143 
7 1940 96070999 
8 5558 73991821 
8 3764 18666771 
8 4201 84275789 
9 2052 47722204 
9 9955 67803823 
9 8228 52728486 
9 9450 3229503 
10 5569 63569343 
10 320 86596454 
11 2071 52060839 
11 8759 58084345 
12 3793 31960580 
13 5004 58755610 
13 9632 48180017 
13 3258 53561309 
13 224 33986555 
13 9573 10237522 
14 6778 36626442 
15 6906 59547050 
16 6790 90499492 
16 4272 60795865 
17 9205 31709623 
17 7248 40396227 
17 6670 71725721 
18 1837 9167729 
18 4297 18839853 
18 7786 61225627 
18 9953 13203894 
18 6710 46619346 
18 9316 84813917 
19 8331 42059559 
19 4415 89607718 
19 1472 97775822 
19 4997 96829955 
19 6562 33279925 
19 1273 85300280 
21 2180 23594622 
21 4354 49456525 
21 5949 36416923 
22 3883 93497787 
23 583 45680639 
23 208 55004105 
23 1683 5573406 
24 946 86106321 
24 1068 33638139 
24 2927 57219265 
24 3235 89809392 
24 6629 53376681 
24 2486 68615783 
24 1851 51743005 
25 7301 45393434 
25 390 56422577 
25 2445 85517957 
25 2897 75615062 
26 8080 93352114 
26 2285 41805154 
26 2369 23969234 
27 3651 507473 
27 4433 23313132 
27 946 35324773 
28 7275 86992112 
28 7276 85781241 
28 4038 47999757 
28 4189 43186910 
28 9443 9385326 
28 8123 78657354 
28 110 59156556 
29 1036 20652962 
29 2761 98704783 
30 7301 48038894 
30 6038 99100687 
31 4011 69449406 
31 660 13582008 
31 300 84883047 
32 5339 50560367 
32 3440 94278617 
33 1180 73194813 
33 4721 13916749 
33 1973 10378441 
33 3562 89829892 
33 478 59430384 
34 734 76654845 
34 1286 84164410 
34 4861 25456604 
34 6992 9807053 
34 9680 92024886 
34 7073 30244244 
35 9952 11872198 
35 5157 13219027 
35 2338 63333042 
36 9555 13443884 
36 504 12735683 
36 3317 84556181 
36 6463 66940691 
36 347 20541226 
37 3806 31717495 
37 4576 28226923 
37 2527 99449459 
37 6423 48709827 
37 2689 36620339 
37 1813 28398649 
37 3850 50735032 
38 698 37725012 
38 9504 25596126 
38 2457 12341490 
39 5814 57109111 
39 1995 51031023 
39 2278 41871650 
40 4414 63644328 
40 471 37416415 
40 8674 50422388 
41 4092 56101133 
41 1661 37730440 
41 8826 35867566 
42 7679 11975087 
42 8626 83584483 
42 6555 30751924 
42 3517 56605054 
42 2582 30501569 
42 5397 39235546 
42 1636 53671708 
42 3766 17374204 
43 4291 54434022 
43 7784 26266235 
43 3746 65498513 
43 6441 43699568 
43 6762 75866297 
43 541 68706146 
43 5674 78343924 
43 6798 86639877 
43 123 65000148 
44 1612 42102540 
44 1959 70921229 
44 6338 24272449 
44 7251 72112414 
44 9737 38022559 
44 5186 77454932 
45 1608 57819940 
45 6841 75875710 
45 766 47998575 
45 6834 34631475 
45 3408 16733286 
46 2210 3932686 
46 667 49719692 
46 9718 53091400 
47 8240 62205939 
47 6687 35532076 
47 1275 76194145 
47 471 93657928 
47 6092 45677728 
48 1539 37556845 
48 7741 40811814 
48 3233 66703013 
48 1141 30242728 
48 3087 61307923 
49 7565 94850598 
49 8312 61605167 
50 4186 32306747 
50 875 82010632 
50 7115 99909124 
50 873 82652341 
50 7149 96708174 
51 679 31910072 
51 2425 29271179 
51 3717 87853605 
51 2788 69900195 
51 3303 55371511 
51 2678 85472714 
52 1606 38608863 
52 2437 33769228 
52 2974 38851782 
52 2953 24613287 
52 5614 40298551 
52 7616 18712322 
52 8100 2645777 
52 2588 98983905 
53 4710 75726809 
54 7540 50877345 
54 4483 21728710 
55 1038 64338102 
55 737 83885071 
55 3829 97893773 
56 1980 27149718 
56 676 12132107 
56 5379 3440906 
56 6225 43984203 
57 2611 57368005 
58 4673 68880017 
58 1984 84261382 
58 2989 10228816 
58 3939 88519445 
58 8127 83220538 
58 9194 46552466 
59 9201 50696318 
59 2112 77680804 
59 5711 12801445 
59 5715 67059363 
60 4779 56500492 
60 5795 83568530 
60 8636 30083551 
60 7775 66921065 
60 343 72406797 
61 576 57935131 
61 3590 25505048 
62 8406 83172219 
62 9675 43354484 
62 8036 74631780 
62 3176 61086645 
62 2144 68244344 
62 1812 10404629 
63 3145 56677463 
63 982 18702314 
63 1679 62672979 
63 1177 14818784 
64 7376 39324897 
64 7579 86329595 
64 829 19132483 
65 1288 12591824 
65 9683 92299447 
66 5183 74187802 
66 2135 53735908 
66 8114 39657073 
66 4553 4095277 
66 1058 6602519 
67 9543 52475917 
67 2766 62850354 
67 8734 94502199 
67 640 71201569 
67 671 83668257 
67 9811 81243842 
68 6541 43127857 
69 9365 78611655 
69 132 16468276 
69 682 69954256 
69 5034 35618639 
69 5581 50268453 
69 7947 74943311 
70 9009 86782434 
71 2445 26318429 
71 6133 48297443 
71 3290 92194726 
71 6416 5978394 
71 7108 65266441 
71 5640 31093561 
72 608 58466196 
72 3713 8661177 
72 3640 33368777 
72 5815 42848894 
72 7457 31208770 
73 2406 93147912 
74 1441 72477730 
74 2578 30476048 
74 8949 34245913 
74 5017 37176469 
74 9625 72346309 
75 4632 38340526 
75 8008 92882906 
75 4461 71152173 
75 6759 33174608 
75 7421 51234502 
75 2421 3175290 
76 8602 55501992 
76 2765 72226094 
76 7940 1395351 
76 7235 82796295 
77 8657 76290995 
77 5395 4729154 
77 3971 69524707 
78 2644 45427809 
78 2964 77679858 
78 1593 33469167 
78 3475 17183132 
79 5888 82610614 
79 7342 44597236 
79 6354 60928326 
79 1609 92920280 
80 8080 9431845 
80 7917 21072849 
80 1132 39515323 
80 1998 16116989 
81 8139 28267445 
81 8625 17458671 
81 4335 4527178 
81 9490 58120732 
81 3795 14645308 
81 9398 8360837 
82 6950 64300290 
82 5891 29156393 
82 8737 7580907 
82 2262 40125185 
83 6214 67289934 
83 1696 568383 
83 3426 26082848 
83 7240 95207213 
83 664 90822066 
84 7249 27406967 
84 1940 60137542 
85 7375 79050507 
85 2961 75319692 
85 8208 12487705 
85 1469 69697521 
85 8037 69200775 
86 5776 62060941 
86 8472 50341315 
86 4859 64716306 
86 4536 31795806 
87 4943 49940276 
87 5505 97694728 
88 7815 26185214 
88 8411 85548487 
89 5920 2147057 
89 2855 18463421 
89 8196 78827235 
89 3494 96470598 
90 6054 8900353 
90 8939 4357625 
90 549 88268315 
90 8348 59980710 
91 1223 99504035 
91 1809 74760293 
91 2439 68300521 
91 9059 72747135 
92 128 44422915 
92 1253 84612439 
92 1425 64374681 
93 2029 20411596 
93 1473 10880795 
93 1390 89278488 
93 4289 60860260 
93 621 74636670 
93 5480 20036286 
94 5835 39513870 
94 9388 69767188 
95 451 34513872 
95 2116 72754827 
96 8336 55772384 
96 6157 17148746 
96 2933 71257829 
96 1904 25467854 
96 2157 6006333 
97 4606 26531515 
97 701 87420364 
97 4329 7023196 
97 9504 12027093 
97 3683 64209411 
98 3188 42220901 
98 2179 66009565 
98 952 76522173 
98 8697 29129295 
99 9263 92044347 
99 2518 74063679 
99 4162 42334460 
99 1561 79518189 
100 4787 88752263 
100 307 88122585 
100 1645 19743990 
100 9795 91030080 
100 6170 73270499 
101 6390 41554552 
101 5349 34213849 
101 3395 57774628 
101 8874 68638860 
101 6796 21739919 
102 4304 30500796 
102 7534 92166352 
102 381 29969811 
102 1664 39173652 
102 2124 91057177 
103 4513 49942952 
103 5951 48513500 
103 6948 44490795 
104 7096 75449879 
104 4970 84437884 
104 7897 67759737 
104 2878 8982278 
104 9650 22290739 
105 2990 6643976 
105 9758 47971252 
106 6397 94503779 
106 7070 35702606 
106 7541 83210426 
106 1004 88778300 
106 7655 57498179 
106 1534 21741371 
107 9181 69455281 
107 125 58593471 
107 901 4220548 
107 1478 54387353 
107 5873 36087718 
108 1998 82732957 
108 8743 32882135 
108 6692 66542348 
108 896 13784101 
108 3034 5435703 
109 4620 54285199 
109 7583 62478117 
109 4224 81910991 
109 1825 90841633 
110 4179 77154695 
110 3196 10218487 
110 4397 34616609 
110 1323 27164250 
111 9470 90152689 
111 1684 22184635 
111 7815 82683071 
111 2724 36481745 
112 5918 85749583 
113 5544 79300207 
113 727 9805600 
113 1195 11026981 
113 8134 3209212 
113 9864 52508258 
113 8055 32604804 
113 6273 12191987 
114 5401 25307532 
114 4786 24095166 
115 492 62046830 
115 1452 15962733 
115 129 14517631 
115 3003 7475292 
115 9965 42588784 
115 2056 1147900 
115 4113 23002715 
116 2413 52969092 
116 4474 91348605 
116 4092 85185915 
117 8552 22233219 
117 5818 11049943 
117 4003 67417030 
117 3464 5475339 
117 1325 81691633 
117 9040 1148955 
117 7099 69125810 
118 2552 5731836 
118 1380 2016904 
118 8073 66845784 
118 5568 59759235 
119 2160 85598337 
119 9367 23374537 
119 5809 90989599 
119 2037 51746360 
119 2837 70877656 
119 7850 20871491 
119 550 80948920 
119 6203 61167410 
120 2390 19654398 
120 2142 78803326 
120 8661 24786567 
120 1382 79411614 
120 1486 17212751 
120 2834 26562743 
121 9291 14294440 
121 7669 15635002 
121 1279 87428632 
122 1807 45411751 
122 3061 22132097 
122 6371 78154180 
122 9295 82500354 
122 7708 5255821 
122 4083 94308875 
123 452 88940586 
124 986 39145236 
124 3787 44809754 
125 8880 96924116 
125 9423 96714678 
125 1059 39565453 
126 526 13124551 
126 5502 67969143 
126 7676 20665377 
126 2016 61479334 
126 8846 21471232 
126 5293 2726008 
127 8879 25384503 
127 6262 23816800 
127 5839 86662500 
128 4681 91395950 
129 1403 50201553 
129 7492 84706170 
129 6809 45115424 
129 4112 6641517 
129 340 83976263 
129 1730 86831846 
129 5765 5186389 
130 8270 9061731 
130 1147 49079797 
130 8211 49379152 
130 8221 19858119 
130 1254 53503734 
130 582 448886 
130 9936 81282966 
131 2234 83038679 
131 7899 57584196 
131 751 61201474 
131 2563 76510296 
132 5166 55532036 
132 2313 24852808 
132 1060 38840363 
133 7651 49359220 
133 4631 34165891 
133 1371 63718211 
133 8938 56083302 
133 630 34816542 
133 7514 17262623 
134 1693 92705843 
134 7002 84836387 
134 8343 3671090 
135 2633 26879932 
135 2063 24023912 
135 7644 26372095 
135 433 75747457 
135 6832 23656463 
135 6403 84582346 
136 5963 41164948 
136 6166 33469021 
136 4765 93878255 
136 3883 12309574 
136 7757 23164961 
136 9463 81944943 
137 4320 18026592 
137 8856 48857807 
137 9870 77908017 
137 6196 24943046 
137 474 6860472 
137 420 14333838 
137 978 36292988 
137 7188 52782186 
137 2491 89691665 
137 2273 32093495 
138 7475 27411909 
139 1401 97616774 
139 5329 33917604 
139 8738 60997110 
140 8623 5617241 
140 5841 89397707 
140 9312 96027676 
140 2764 53834797 
141 9678 38998668 
141 602 88776620 
141 8117 7141424 
141 2492 90583786 
142 2871 39107302 
142 2006 54996490 
143 7515 62749174 
143 8709 33686482 
143 6848 3790632 
143 9895 75583601 
143 9684 49018858 
143 8740 77440115 
143 3437 66301312 
144 9528 63970559 
144 5540 38066629 
144 8726 49784610 
144 1824 53442777 
145 9898 68388872 
145 1061 76337847 
145 9209 25580349 
145 6463 75131447 
146 8304 17356260 
146 2861 49901537 
146 404 72178368 
147 330 41740185 
147 6501 47557367 
147 6450 71000560 
147 8192 42386406 
147 3538 89666017 
147 886 22624838 
148 2899 63584376 
148 5027 30324060 
148 2012 54337132 
148 3865 11812701 
148 473 33571660 
148 4773 86073559 
149 5608 92979775 
149 6227 66870268 
149 3889 16672689 
149 498 1539950 
150 9323 2476642 
150 8344 64776190 
150 8112 6491001 
151 8654 63754992 
152 7582 19886358 
152 6091 75615830 
152 2438 93118956 
152 2608 416280 
152 8136 46360313 
153 6901 28915773 
153 9610 36310401 
154 1779 74650774 
154 703 19867545 
154 9142 16084528 
155 9587 33154601 
155 6744 87427643 
155 204 59862575 
155 3833 65747662 
156 5791 20240186 
156 6410 91738299 
156 5074 36106876 
156 4433 14821367 
157 8854 44512948 
157 3985 46618651 
158 5730 45058730 
158 579 55826954 
158 3530 24270861 
158 695 44385599 
158 8997 5253217 
158 9192 45755803 
160 1914 72490975 
160 5479 4197959 
160 3748 30438749 
160 5462 28780803 
160 3060 3392547 
160 6967 25875026 
160 6678 65612872 
160 1372 53571874 
161 3559 41851060 
161 4664 96801103 
161 2603 19891262 
161 404 87066093 
162 5885 47049329 
162 2579 94588210 
163 2488 41900775 
163 3315 45761050 
163 6757 81226284 
164 4428 63282474 
164 5702 46301581 
164 9816 6005985 
165 2046 1962725 
165 1828 75532912 
165 7601 3633868 
165 2395 13863949 
166 8272 11492399 
166 4156 16747907 
166 3631 13752663 
166 4941 65523553 
166 8447 65627790 
167 7534 38406599 
167 2171 1537138 
167 1737 62155946 
167 7121 4129094 
167 8177 59857316 
168 4237 34852799 
168 8111 72091561 
168 241 64867098 
169 4303 71900607 
169 8353 65906094 
169 6521 83738362 
169 9561 22630610 
169 2417 24184021 
169 8252 62260027 
170 3399 64654331 
170 5849 49222057 
170 2633 16798516 
170 7669 58991427 
170 6436 26833877 
171 3911 14646546 
171 5084 72321283 
171 6692 26897484 
172 5467 74718021 
172 486 51294911 
172 364 43418762 
172 1608 26557967 
172 1174 76669674 
173 5500 13434691 
